# ========
# captured on: Sat Nov 14 22:28:12 2015
# hostname : LeoMa-ThinkPad-T440
# os release : 3.13.0-57-generic
# perf version : 3.13.11-ckt21
# arch : x86_64
# nrcpus online : 4
# nrcpus avail : 4
# cpudesc : Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz
# cpuid : GenuineIntel,6,69,1
# total memory : 3748808 kB
# cmdline : /usr/lib/linux-tools-3.13.0-57/perf record ./show-last-commit.sh 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, attr_mmap2 = 0, attr_mmap  = 1, attr_mmap_data = 0
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 28120863440
#
# Overhead  Command       Shared Object                                               Symbol
# ........  .......  ..................  ...................................................
#
    13.90%      log  libgit2.so.0.23.0   [.] git_tree__parse                                
    12.52%      log  libgit2.so.0.23.0   [.] git__strtol64                                  
     8.06%      log  libc-2.19.so        [.] _int_malloc                                    
     6.96%      log  libgit2.so.0.23.0   [.] git__strncmp                                   
     3.39%      log  libc-2.19.so        [.] malloc_consolidate                             
     3.00%      log  libc-2.19.so        [.] __memcpy_sse2_unaligned                        
     2.88%      log  libgit2.so.0.23.0   [.] alloc_entry                                    
     2.86%      log  libc-2.19.so        [.] _int_free                                      
     2.58%      log  libz.so.1.2.8       [.] 0x000000000000bab2                             
     2.18%      log  libgit2.so.0.23.0   [.] git_tree_entry__is_tree                        
     2.12%      log  libgit2.so.0.23.0   [.] count_run                                      
     2.02%      log  libgit2.so.0.23.0   [.] tree_iterator__push_frame                      
     1.98%      log  libc-2.19.so        [.] memchr                                         
     1.93%      log  [kernel.kallsyms]   [k] 0xffffffff81173f6f                             
     1.80%      log  libgit2.so.0.23.0   [.] git_vector_insert                              
     1.56%      log  libgit2.so.0.23.0   [.] entry_sort_cmp                                 
     1.54%      log  libgit2.so.0.23.0   [.] pool_alloc                                     
     1.54%      log  libgit2.so.0.23.0   [.] git__add_sizet_overflow                        
     1.52%      log  libc-2.19.so        [.] malloc                                         
     1.39%      log  libgit2.so.0.23.0   [.] git_path_cmp                                   
     1.38%      log  libc-2.19.so        [.] memset                                         
     1.35%      log  libgit2.so.0.23.0   [.] git__strtol32                                  
